date,tag,release_name,published_at,asset_name,asset_size,total_downloads,new_downloads,anomaly
2026-08-30,v1.1.0,DocSync v1.1.0,2026-07-21T15:11:17Z,DocSync-Setup-1.1.0.exe,122104978,0,0,
2026-08-30,v1.10.0,DocSync v1.10.0,2026-08-24T15:05:23Z,DocSync-Setup-1.10.0.exe,135045183,1,1,
2026-08-30,v1.10.0,DocSync v1.10.0,2026-08-24T15:05:23Z,DocSync-Setup-latest.exe,135045183,0,0,
2026-08-30,v1.11.0,DocSync v1.11.0,2026-08-24T18:06:04Z,DocSync-Setup-1.11.0.exe,135111053,1,1,
2026-08-30,v1.11.0,DocSync v1.11.0,2026-08-24T18:06:04Z,DocSync-Setup-latest.exe,135111053,0,0,
2026-08-30,v1.12.0,DocSync v1.12.0,2026-08-24T19:40:17Z,DocSync-Setup-1.12.0.exe,135118823,1,1,
2026-08-30,v1.12.0,DocSync v1.12.0,2026-08-24T19:40:17Z,DocSync-Setup-latest.exe,135118823,0,0,
2026-08-30,v1.13.0,DocSync v1.13.0,2026-08-29T17:46:16Z,DocSync-Setup-1.13.0.exe,135100221,1,1,
2026-08-30,v1.13.0,DocSync v1.13.0,2026-08-29T17:46:16Z,DocSync-Setup-latest.exe,135100221,0,0,
2026-08-30,v1.14.0,DocSync v1.14.0,2026-08-30T12:00:23Z,DocSync-Setup-1.14.0.exe,135099784,0,0,
2026-08-30,v1.14.0,DocSync v1.14.0,2026-08-30T12:00:23Z,DocSync-Setup-latest.exe,135099784,0,0,
2026-08-30,v1.15.0,DocSync v1.15.0,2026-08-30T12:05:08Z,DocSync-Setup-1.15.0.exe,135099831,0,0,
2026-08-30,v1.15.0,DocSync v1.15.0,2026-08-30T12:05:08Z,DocSync-Setup-latest.exe,135099831,0,0,
2026-08-30,v1.2.0,DocSync v1.2.0,2026-07-23T13:13:05Z,DocSync-Setup-1.2.0.exe,122115624,1,1,
2026-08-30,v1.2.0,DocSync v1.2.0,2026-07-23T13:13:05Z,DocSync-Setup-latest.exe,122115624,0,0,
2026-08-30,v1.2.1,DocSync v1.2.1,2026-07-23T16:23:22Z,DocSync-Setup-1.2.1.exe,122117814,1,1,
2026-08-30,v1.2.1,DocSync v1.2.1,2026-07-23T16:23:22Z,DocSync-Setup-latest.exe,122117814,0,0,
2026-08-30,v1.3.0,DocSync v1.3.0,2026-07-25T14:32:43Z,DocSync-Setup-1.3.0.exe,122248659,1,1,
2026-08-30,v1.3.0,DocSync v1.3.0,2026-07-25T14:32:43Z,DocSync-Setup-latest.exe,122248659,0,0,
2026-08-30,v1.3.1,DocSync v1.3.1,2026-07-26T10:47:41Z,DocSync-Setup-1.3.1.exe,122270884,1,1,
2026-08-30,v1.3.1,DocSync v1.3.1,2026-07-26T10:47:41Z,DocSync-Setup-latest.exe,122270884,0,0,
2026-08-30,v1.3.2,DocSync v1.3.2,2026-07-26T12:32:01Z,DocSync-Setup-1.3.2.exe,122271534,1,1,
2026-08-30,v1.3.2,DocSync v1.3.2,2026-07-26T12:32:01Z,DocSync-Setup-latest.exe,122271534,0,0,
2026-08-30,v1.4.0,DocSync v1.4.0,2026-07-26T18:24:09Z,DocSync-Setup-1.4.0.exe,122275658,1,1,
2026-08-30,v1.4.0,DocSync v1.4.0,2026-07-26T18:24:09Z,DocSync-Setup-latest.exe,122275658,0,0,
2026-08-30,v1.4.1,DocSync v1.4.1,2026-07-28T11:21:47Z,DocSync-Setup-1.4.1.exe,122280043,0,0,
2026-08-30,v1.4.1,DocSync v1.4.1,2026-07-28T11:21:47Z,DocSync-Setup-latest.exe,122280043,0,0,
2026-08-30,v1.4.2,DocSync v1.4.2,2026-07-28T14:03:41Z,DocSync-Setup-1.4.2.exe,122293482,0,0,
2026-08-30,v1.4.2,DocSync v1.4.2,2026-07-28T14:03:41Z,DocSync-Setup-latest.exe,122293482,0,0,
2026-08-30,v1.5.0,DocSync v1.5.0,2026-08-04T07:28:52Z,DocSync-Setup-1.5.0.exe,122314823,1,1,
2026-08-30,v1.5.0,DocSync v1.5.0,2026-08-04T07:28:52Z,DocSync-Setup-latest.exe,122314823,0,0,
2026-08-30,v1.6.0,DocSync v1.6.0,2026-08-04T08:34:13Z,DocSync-Setup-1.6.0.exe,122322693,0,0,
2026-08-30,v1.6.0,DocSync v1.6.0,2026-08-04T08:34:13Z,DocSync-Setup-latest.exe,122322693,0,0,
2026-08-30,v1.7.0,DocSync v1.7.0,2026-08-04T09:33:59Z,DocSync-Setup-1.7.0.exe,122332849,0,0,
2026-08-30,v1.7.0,DocSync v1.7.0,2026-08-04T09:33:59Z,DocSync-Setup-latest.exe,122332849,0,0,
2026-08-30,v1.8.0,DocSync v1.8.0,2026-08-04T13:50:12Z,DocSync-Setup-1.8.0.exe,136955809,1,1,
2026-08-30,v1.8.0,DocSync v1.8.0,2026-08-04T13:50:12Z,DocSync-Setup-latest.exe,136955809,0,0,
2026-08-30,v1.9.0,DocSync v1.9.0,2026-08-05T15:22:45Z,DocSync-Setup-1.9.0.exe,137004786,1,1,
2026-08-30,v1.9.0,DocSync v1.9.0,2026-08-05T15:22:45Z,DocSync-Setup-latest.exe,137004786,0,0,
2026-08-31,v1.1.0,DocSync v1.1.0,2026-07-21T15:11:17Z,DocSync-Setup-1.1.0.exe,122104978,0,0,
2026-08-31,v1.10.0,DocSync v1.10.0,2026-08-24T15:05:23Z,DocSync-Setup-1.10.0.exe,135045183,1,0,
2026-08-31,v1.10.0,DocSync v1.10.0,2026-08-24T15:05:23Z,DocSync-Setup-latest.exe,135045183,0,0,
2026-08-31,v1.11.0,DocSync v1.11.0,2026-08-24T18:06:04Z,DocSync-Setup-1.11.0.exe,135111053,1,0,
2026-08-31,v1.11.0,DocSync v1.11.0,2026-08-24T18:06:04Z,DocSync-Setup-latest.exe,135111053,0,0,
2026-08-31,v1.12.0,DocSync v1.12.0,2026-08-24T19:40:17Z,DocSync-Setup-1.12.0.exe,135118823,1,0,
2026-08-31,v1.12.0,DocSync v1.12.0,2026-08-24T19:40:17Z,DocSync-Setup-latest.exe,135118823,0,0,
2026-08-31,v1.13.0,DocSync v1.13.0,2026-08-29T17:46:16Z,DocSync-Setup-1.13.0.exe,135100221,1,0,
2026-08-31,v1.13.0,DocSync v1.13.0,2026-08-29T17:46:16Z,DocSync-Setup-latest.exe,135100221,0,0,
2026-08-31,v1.14.0,DocSync v1.14.0,2026-08-30T12:00:23Z,DocSync-Setup-1.14.0.exe,135099784,0,0,
2026-08-31,v1.14.0,DocSync v1.14.0,2026-08-30T12:00:23Z,DocSync-Setup-latest.exe,135099784,0,0,
2026-08-31,v1.15.0,DocSync v1.15.0,2026-08-30T12:05:08Z,DocSync-Setup-1.15.0.exe,135099831,0,0,
2026-08-31,v1.15.0,DocSync v1.15.0,2026-08-30T12:05:08Z,DocSync-Setup-latest.exe,135099831,0,0,
2026-08-31,v1.16.0,DocSync v1.16.0,2026-08-30T12:45:31Z,DocSync-Setup-1.16.0.exe,135099388,0,0,
2026-08-31,v1.16.0,DocSync v1.16.0,2026-08-30T12:45:31Z,DocSync-Setup-latest.exe,135099388,0,0,
2026-08-31,v1.17.0,DocSync v1.17.0,2026-08-30T15:33:39Z,DocSync-Setup-1.17.0.exe,135147212,1,1,
2026-08-31,v1.17.0,DocSync v1.17.0,2026-08-30T15:33:39Z,DocSync-Setup-latest.exe,135147212,0,0,
2026-08-31,v1.2.0,DocSync v1.2.0,2026-07-23T13:13:05Z,DocSync-Setup-1.2.0.exe,122115624,1,0,
2026-08-31,v1.2.0,DocSync v1.2.0,2026-07-23T13:13:05Z,DocSync-Setup-latest.exe,122115624,0,0,
2026-08-31,v1.2.1,DocSync v1.2.1,2026-07-23T16:23:22Z,DocSync-Setup-1.2.1.exe,122117814,1,0,
2026-08-31,v1.2.1,DocSync v1.2.1,2026-07-23T16:23:22Z,DocSync-Setup-latest.exe,122117814,0,0,
2026-08-31,v1.3.0,DocSync v1.3.0,2026-07-25T14:32:43Z,DocSync-Setup-1.3.0.exe,122248659,1,0,
2026-08-31,v1.3.0,DocSync v1.3.0,2026-07-25T14:32:43Z,DocSync-Setup-latest.exe,122248659,0,0,
2026-08-31,v1.3.1,DocSync v1.3.1,2026-07-26T10:47:41Z,DocSync-Setup-1.3.1.exe,122270884,1,0,
2026-08-31,v1.3.1,DocSync v1.3.1,2026-07-26T10:47:41Z,DocSync-Setup-latest.exe,122270884,0,0,
2026-08-31,v1.3.2,DocSync v1.3.2,2026-07-26T12:32:01Z,DocSync-Setup-1.3.2.exe,122271534,1,0,
2026-08-31,v1.3.2,DocSync v1.3.2,2026-07-26T12:32:01Z,DocSync-Setup-latest.exe,122271534,0,0,
2026-08-31,v1.4.0,DocSync v1.4.0,2026-07-26T18:24:09Z,DocSync-Setup-1.4.0.exe,122275658,1,0,
2026-08-31,v1.4.0,DocSync v1.4.0,2026-07-26T18:24:09Z,DocSync-Setup-latest.exe,122275658,0,0,
2026-08-31,v1.4.1,DocSync v1.4.1,2026-07-28T11:21:47Z,DocSync-Setup-1.4.1.exe,122280043,0,0,
2026-08-31,v1.4.1,DocSync v1.4.1,2026-07-28T11:21:47Z,DocSync-Setup-latest.exe,122280043,0,0,
2026-08-31,v1.4.2,DocSync v1.4.2,2026-07-28T14:03:41Z,DocSync-Setup-1.4.2.exe,122293482,0,0,
2026-08-31,v1.4.2,DocSync v1.4.2,2026-07-28T14:03:41Z,DocSync-Setup-latest.exe,122293482,0,0,
2026-08-31,v1.5.0,DocSync v1.5.0,2026-08-04T07:28:52Z,DocSync-Setup-1.5.0.exe,122314823,1,0,
2026-08-31,v1.5.0,DocSync v1.5.0,2026-08-04T07:28:52Z,DocSync-Setup-latest.exe,122314823,0,0,
2026-08-31,v1.6.0,DocSync v1.6.0,2026-08-04T08:34:13Z,DocSync-Setup-1.6.0.exe,122322693,0,0,
2026-08-31,v1.6.0,DocSync v1.6.0,2026-08-04T08:34:13Z,DocSync-Setup-latest.exe,122322693,0,0,
2026-08-31,v1.7.0,DocSync v1.7.0,2026-08-04T09:33:59Z,DocSync-Setup-1.7.0.exe,122332849,0,0,
2026-08-31,v1.7.0,DocSync v1.7.0,2026-08-04T09:33:59Z,DocSync-Setup-latest.exe,122332849,0,0,
2026-08-31,v1.8.0,DocSync v1.8.0,2026-08-04T13:50:12Z,DocSync-Setup-1.8.0.exe,136955809,1,0,
2026-08-31,v1.8.0,DocSync v1.8.0,2026-08-04T13:50:12Z,DocSync-Setup-latest.exe,136955809,0,0,
